recno,SeqNum,Name,UKST,RAJ2000,DEJ2000,Bjmag,Bjsel,z,q_z,n_z,SNR
73344,104373,"TGS400Z156",418,51.12720833333333,-30.643416666666663,19.016,18.974,0.1375,5,1,29.0
73322,104350,"TGS400Z141",418,51.20304166666666,-30.61961111111111,18.781,18.73,0.1192,4,1,20.2
73312,104339,"TGS400Z137",418,51.21574999999999,-30.60680555555555,18.888,18.835,0.1189,5,1,20.3
73343,104372,"TGS400Z155",418,51.14462499999999,-30.59522222222222,19.07,19.023,0.1472,3,1,2.4
73394,104429,"TGS399Z072",418,50.91108333333332,-30.512999999999995,19.353,19.306,0.1368,4,2,9.9
73390,104423,"TGS399Z071",418,50.94970833333333,-30.499138888888886,18.157,18.111,0.0306,4,2,7.3
73402,104438,"TGS399Z074",418,50.89258333333333,-30.430111111111106,17.12,17.072,0.0443,5,2,10.8
73376,104408,"TGS400Z179",418,51.00283333333333,-30.397777777777772,18.623,18.578,0.0587,4,1,10.8
73415,104451,"TGS400Z199",418,50.81816666666666,-30.443805555555553,18.508,18.458,0.1264,4,2,13.8
73414,104450,"TGS399Z077",418,50.822083333333325,-30.40819444444444,19.277,19.228,0.203,4,1,8.9
73410,104446,"TGS399Z076",418,50.846124999999994,-30.382861111111108,19.342,19.294,0.204,4,1,8.2
73408,104444,"TGS400Z196",418,50.843999999999994,-30.33097222222222,18.92,18.873,0.1323,4,1,10.5
73409,104445,"TGS400Z197",418,50.85366666666666,-30.332138888888885,17.438,17.391,0.0579,4,1,9.7
73427,104464,"TGS399Z079",418,50.752083333333324,-30.341277777777773,18.497,18.453,0.1932,3,1,3.9
73432,104469,"TGS399Z081",418,50.73066666666666,-30.31555555555555,18.76,18.717,0.0671,4,2,15.5
73431,104468,"TGS399Z080",418,50.74616666666666,-30.305888888888884,18.866,18.823,0.0669,4,2,4.2
73436,104473,"TGS400Z208",418,50.721624999999996,-30.303777777777775,19.375,19.333,0.1281,4,1,14.2
73407,104443,"TGS399Z075",418,50.838833333333326,-30.292972222222218,19.364,19.319,0.177,4,1,16.0
73426,104463,"TGS399Z078",418,50.75908333333333,-30.215027777777774,19.06,19.013,0.1773,5,1,16.8
73467,104505,"TGS399Z096",418,50.569083333333325,-30.32872222222222,18.813,18.766,0.1948,4,1,11.5
73479,104518,"TGS399Z102",418,50.525999999999996,-30.296499999999995,19.255,19.206,0.2222,4,1,10.9
73476,104514,"TGS400Z223",418,50.553708333333326,-30.26986111111111,18.856,18.809,0.1331,4,2,8.4
73435,104472,"TGS399Z083",418,50.710499999999996,-30.252666666666663,18.866,18.824,0.1362,4,2,9.2
73430,104467,"TGS400Z206",418,50.75579166666666,-30.131472222222218,16.643,16.593,0.0581,4,1,8.8
73434,104471,"TGS399Z082",418,50.71408333333333,-30.12794444444444,19.168,19.118,0.106,4,1,9.1
73475,104513,"TGS400Z222",418,50.54962499999999,-30.23936111111111,18.856,18.81,0.1365,4,1,4.6
73483,104522,"TGS399Z105",418,50.516749999999995,-30.23297222222222,18.899,18.852,0.0737,4,2,7.5
73456,104493,"TGS400Z214",418,50.60649999999999,-30.18158333333333,17.37,17.324,0.0671,5,1,16.0
73482,104521,"TGS399Z104",418,50.51854166666666,-30.115277777777774,18.909,18.859,-2.0E-4,4,1,3.3
73455,104492,"TGS400Z213",418,50.61616666666666,-30.132055555555553,19.386,19.338,1.0E-4,5,1,16.7
73461,104499,"TGS399Z094",418,50.59537499999999,-30.108388888888886,18.941,18.893,0.1922,4,1,4.6
73474,104512,"TGS400Z221",418,50.56558333333333,-30.060833333333328,19.353,19.301,0.2395,2,3,1.0
73451,104488,"TGS399Z088",418,50.633374999999994,-30.03869444444444,19.146,19.093,0.1383,4,1,7.9
73460,104498,"TGS399Z093",418,50.593624999999996,-30.047249999999995,17.713,17.661,0.0584,5,1,31.8
72443,103423,"TGS402Z152",418,54.01441666666666,-30.868555555555552,19.168,19.101,0.2699,5,1,14.1
72436,103415,"TGS402Z145",418,54.04116666666666,-30.83319444444444,19.092,19.025,0.1001,4,2,6.0
72399,103373,"TGS402Z109",418,54.11608333333333,-30.81883333333333,19.038,18.967,0.2037,4,1,12.3
72426,103404,"TGS402Z134",418,54.06412499999999,-30.782999999999994,18.095,18.028,0.1162,5,1,26.6
74088,105313,"TGS401Z296",418,53.080749999999995,-31.04691666666666,18.29,18.221,0.1233,5,1,37.7
74087,105312,"TGS401Z295",418,53.08274999999999,-31.04380555555555,19.255,19.186,0.1234,4,1,6.3
72875,103886,"TGS402Z297",418,52.971374999999995,-31.005722222222218,18.963,18.898,0.1277,4,2,7.0
72874,103885,"TGS402Z296",418,52.986749999999994,-30.985305555555552,18.549,18.485,0.1749,4,1,11.6
74131,105358,"TGS401Z305",418,52.86695833333333,-31.06544444444444,17.187,17.119,0.1058,4,1,14.5
72925,103939,"TGS401Z169",418,52.83987499999999,-30.975611111111107,18.466,18.396,0.1065,4,1,11.5
74126,105353,"TGS401Z304",418,52.89495833333333,-31.017527777777772,18.92,18.854,0.1403,4,1,11.4
72910,103923,"TGS401Z164",418,52.90479166666666,-31.001888888888885,18.899,18.832,0.1284,3,3,5.3
74152,105382,"TGS401Z311",418,52.69083333333332,-31.049361111111107,18.341,18.27,0.1249,5,1,21.9
74149,105378,"TGS401Z309",418,52.73254166666666,-31.009361111111108,19.049,18.977,0.1528,5,1,13.4
72980,103996,"TGS401Z195",418,52.71683333333333,-30.973722222222218,17.933,17.862,0.1252,5,1,38.2
72964,103980,"TGS401Z186",418,52.756874999999994,-30.93894444444444,19.06,18.986,0.1628,3,2,1.9
72998,104016,"TGS401Z204",418,52.685041666666656,-30.970861111111105,18.393,18.323,0.1066,4,1,11.8
72924,103938,"TGS402Z309",418,52.843083333333325,-30.91305555555555,17.793,17.72,0.0473,4,1,7.1
