Num,Name,RAJ2000,DEJ2000,z,f_z,imag,UmagC,e_UmagC,BmagC,e_BmagC,VmagC,e_VmagC,RmagC,e_RmagC,ImagC,e_ImagC
57831,"VVDS-J033228.85-275930.4",53.120236,-27.9917974,9.9999,0,23.5891,27.0095,,26.8594,0.1813,24.8874,0.1647,24.3113,0.0819,23.5891,0.0924
8927,"VVDS-J033228.10-275929.6",53.1171099,-27.991572,0.9586,9,23.9844,24.9109,0.0678,24.8946,0.0501,24.2571,0.0914,24.0387,0.0693,23.9844,0.0902
58044,"VVDS-J033228.24-275920.9",53.1176817,-27.9891592,9.9999,0,23.7486,27.0095,,27.1531,0.163,24.8882,0.2211,24.1789,0.0734,23.7486,0.1169
8970,"VVDS-J033224.15-275923.6",53.1006358,-27.9899124,0.779,2,21.238,23.5926,0.0333,22.9119,0.0157,22.6337,0.0327,21.951,0.0178,21.238,0.0172
9261,"VVDS-J033226.89-275914.7",53.1120741,-27.987443,0.5269,1,21.8275,24.682,0.0708,24.0279,0.0289,23.0597,0.0433,22.3935,0.0195,21.8275,0.0254
9274,"VVDS-J033226.77-275915.6",53.1115459,-27.9876926,0.4716,2,23.3373,24.7551,0.0906,23.9992,0.0308,22.6688,0.0481,22.8155,0.0325,23.3373,0.0612
111456,"VVDS-J033227.08-275900.8",53.1128481,-27.9835645,0.5299,2,22.1255,27.0095,,27.3138,,25.9514,,26.1283,,22.1255,0.0492
111461,"VVDS-J033225.75-275857.9",53.1073213,-27.9827538,0.2782,4,21.3977,27.0095,,27.3138,,25.9514,,26.1283,,21.3977,0.0237
9087,"VVDS-J033217.96-275919.6",53.0748463,-27.9887782,1.0767,9,22.7785,24.1541,0.0388,23.6454,0.0227,23.713,0.0559,23.4003,0.0455,22.7785,0.0581
9273,"VVDS-J033221.04-275914.5",53.0876913,-27.9873796,0.5762,2,23.5467,24.574,0.0879,23.9419,0.0326,24.1112,0.0777,23.8847,0.0677,23.5467,0.1164
58257,"VVDS-J033220.16-275906.4",53.0840239,-27.9851216,0.5931,2,23.0927,27.0095,,25.2524,0.0641,23.5521,0.0835,23.4453,0.0429,23.0927,0.0655
9105,"VVDS-J033307.87-275922.6",53.2827928,-27.9896251,9.9999,0,22.7824,25.7237,0.1216,24.9068,0.0566,24.3101,0.0873,23.3399,0.0417,22.7824,0.0408
9432,"VVDS-J033308.81-275905.3",53.2867133,-27.984826,0.3467,4,22.2167,23.8874,0.0328,23.0845,0.0178,22.5684,0.0274,22.1276,0.0189,22.2167,0.0319
8811,"VVDS-J033256.45-275931.6",53.2352385,-27.9921199,1.0312,2,23.1317,24.4601,0.0538,24.0436,0.0293,23.9738,0.0685,23.7298,0.0513,23.1317,0.057
111417,"VVDS-J033258.68-275921.6",53.2445284,-27.9893472,0.9796,2,22.8467,27.0095,,27.3138,,25.9514,,26.1283,,22.8467,0.0611
9322,"VVDS-J033259.39-275913.5",53.2474871,-27.98711,1.0345,3,23.0699,25.6391,0.1058,24.9304,0.059,24.376,0.1086,24.1503,0.065,23.0699,0.0651
58583,"VVDS-J033257.11-275833.7",53.2379955,-27.9760528,0.9797,1,21.4414,27.0095,,22.6792,0.0322,22.7039,0.0938,22.3827,0.0573,21.4414,0.0432
10288,"VVDS-J033303.05-275829.6",53.2627404,-27.9749073,1.3461,3,23.3022,24.8156,0.0559,24.0119,0.0314,24.0775,0.0754,23.9673,0.0599,23.3022,0.0924
58365,"VVDS-J033300.20-275858.9",53.2508492,-27.9830292,0.7323,3,21.1682,27.0095,,24.7759,0.06,23.6882,0.0659,22.4638,0.0245,21.1682,0.0155
10730,"VVDS-J033300.97-275808.6",53.2540818,-27.9690645,0.8399,3,21.3115,24.0988,0.0472,23.2809,0.025,22.4514,0.0492,21.9779,0.0331,21.3115,0.0376
