Num,Name,RAJ2000,DEJ2000,imag,z,f_z
20087832,"VVDS-J022604.55-044908.9",36.5189923,-4.819152,21.0838,0.2444,4
20087675,"VVDS-J022614.58-044915.8",36.5607832,-4.8210656,19.6847,0.3826,3
20087811,"VVDS-J022623.49-044904.1",36.5978941,-4.8178257,22.4234,0.6109,2
20088050,"VVDS-J022623.12-044904.5",36.596351,-4.8179193,20.7994,0.5194,4
20089242,"VVDS-J022624.26-044850.8",36.6011086,-4.8141273,23.432,0.52,4
20086626,"VVDS-J022621.28-044915.3",36.5887047,-4.8209368,21.9799,0.7892,2
20088189,"VVDS-J022622.64-044900.0",36.594363,-4.816673,23.2879,0.2758,1
20089092,"VVDS-J022622.94-044856.2",36.5956119,-4.8156175,22.4886,1.0645,2
20087083,"VVDS-J022619.50-044908.2",36.5812912,-4.8189565,23.2466,0.8025,4
20088447,"VVDS-J022618.01-044907.0",36.5750663,-4.8186154,21.4544,0.2537,2
20088592,"VVDS-J022618.89-044856.5",36.5787373,-4.8156966,22.6435,0.6956,4
20087802,"VVDS-J022615.68-044902.4",36.565347,-4.8173387,23.4901,3.5475,1
20088206,"VVDS-J022617.54-044901.9",36.5730967,-4.8172215,22.6824,0.7096,2
20087995,"VVDS-J022620.25-044901.7",36.5843885,-4.817158,22.4667,0.9557,2
20089113,"VVDS-J022620.66-044852.0",36.5861145,-4.8144636,22.7039,0.792,2
20091124,"VVDS-J022622.33-044833.8",36.5930756,-4.809409,23.2445,0.7034,2
20091636,"VVDS-J022620.03-044830.0",36.5834842,-4.8083403,23.487,0.3083,4
20095347,"VVDS-J022619.82-044802.7",36.5825984,-4.8007509,21.3421,0.3893,3
20087053,"VVDS-J022612.83-044909.5",36.5534983,-4.8193263,23.2698,1.5349,1
20086957,"VVDS-J022612.25-044912.1",36.5510477,-4.8200304,21.9706,0.6876,3
20086422,"VVDS-J022613.81-044914.2",36.5575475,-4.8206121,23.4669,1.138,2
20088470,"VVDS-J022610.66-044855.5",36.5444218,-4.8154225,23.9523,1.0738,2
20089358,"VVDS-J022607.12-044849.6",36.5296883,-4.8137849,23.1834,1.1834,3
20089552,"VVDS-J022608.25-044846.8",36.5344156,-4.8130269,23.5879,1.5377,1
20088967,"VVDS-J022606.20-044852.0",36.5258437,-4.8144524,23.9716,3.4,1
20090930,"VVDS-J022608.96-044848.3",36.5373426,-4.8134417,21.1659,0.2659,4
20089762,"VVDS-J022610.92-044843.9",36.5455097,-4.8122062,24.3506,0.581,22
20089977,"VVDS-J022611.20-044843.2",36.5466785,-4.8120181,23.4523,1.0712,2
20092215,"VVDS-J022610.70-044823.6",36.5446178,-4.8065757,23.2252,0.4048,3
20091377,"VVDS-J022607.57-044832.7",36.5315738,-4.8090963,23.8844,0.4433,4
20092461,"VVDS-J022610.21-044821.6",36.5425682,-4.8060027,23.643,0.5667,2
20090781,"VVDS-J022615.02-044837.6",36.562608,-4.8104712,23.0934,1.9359,1
20090922,"VVDS-J022615.13-044834.4",36.5630418,-4.8095729,23.8388,0.5766,1
20091030,"VVDS-J022614.91-044837.0",36.5621477,-4.8103032,22.0006,0.5744,24
20091652,"VVDS-J022616.17-044840.5",36.5673753,-4.8112717,20.6215,0.3824,3
20091318,"VVDS-J022616.11-044835.3",36.5671413,-4.8098132,21.9741,0.537,1
20090963,"VVDS-J022614.02-044834.9",36.558442,-4.80972,23.2229,0.6378,4
20095529,"VVDS-J022618.80-044755.4",36.5783645,-4.7987497,22.8683,0.8886,2
20092923,"VVDS-J022611.64-044817.5",36.5485237,-4.8048665,22.6488,0.7359,3
20094592,"VVDS-J022612.61-044803.7",36.5525606,-4.8010307,22.4899,1.0327,2
20094548,"VVDS-J022613.38-044808.5",36.5557602,-4.8023747,21.3997,0.8677,4
20095413,"VVDS-J022613.17-044803.0",36.5548776,-4.8008445,21.2717,0.8705,3
20097101,"VVDS-J022611.72-044745.4",36.5488412,-4.795958,21.7001,0.8518,2
20102380,"VVDS-J022614.68-044655.2",36.5611745,-4.7820183,23.4848,0.7418,2
20087080,"VVDS-J022750.14-044907.1",36.9589473,-4.8186494,23.854,0.8428,9
20088606,"VVDS-J022746.44-044900.4",36.943524,-4.8167911,21.6569,0.6421,2
20088276,"VVDS-J022746.94-044858.3",36.945621,-4.8162193,22.7144,0.835,1
20086625,"VVDS-J022742.32-044911.3",36.9263669,-4.8198301,23.733,9.9999,0
20088625,"VVDS-J022743.84-044854.6",36.9326942,-4.8151699,22.9497,0.9922,2
20088113,"VVDS-J022741.82-044902.0",36.9242824,-4.817229,21.6712,0.5269,1
20092494,"VVDS-J022745.30-044820.7",36.9387837,-4.8057747,23.1505,9.9999,0
20093379,"VVDS-J022745.80-044812.9",36.9408668,-4.8036034,23.385,0.8915,2
20093447,"VVDS-J022744.87-044812.4",36.9369872,-4.8034484,23.0915,0.8115,2
20086642,"VVDS-J022738.31-044912.6",36.9096336,-4.8201901,23.7581,0.9869,9
20088655,"VVDS-J022738.13-044854.6",36.9088773,-4.8151745,23.0176,1.0565,4
20088827,"VVDS-J022737.56-044853.7",36.9065155,-4.8149363,23.4064,0.6137,4
20089157,"VVDS-J022737.81-044851.9",36.9075564,-4.8144416,22.7374,1.0861,1
20087673,"VVDS-J022734.65-044900.4",36.8944131,-4.8168014,25.235,0.9726,29
20089529,"VVDS-J022735.72-044851.5",36.8988608,-4.8143142,22.4153,1.56,4
20088894,"VVDS-J022737.35-044854.9",36.9056373,-4.8152575,22.8573,0.5535,1
