OzDES,RAJ2000,DEJ2000,z,Flag,types
"OzDES_006688",54.906583,-29.970639,0.82033,3,"LRG"
"OzDES_006692",54.96375,-29.917,0.79379,3,"LRG"
"OzDES_006723",55.220375,-29.646861,0.09864,4,"BrightGalaxy"
"OzDES_007837",55.300708,-29.578833,0.6175,3,"LRG"
"OzDES_006294",54.69575,-30.059528,0.08513,4,"BrightGalaxy"
"OzDES_005842",54.642167,-30.0625,1.9E-4,6,"BrightGalaxy"
"OzDES_006906",54.6565,-30.054278,0.73281,3,"LRG"
"OzDES_006910",54.662708,-30.029083,-8.0E-5,6,"BrightGalaxy"
"OzDES_006295",54.773917,-30.025,0.84015,3,"LRG"
"OzDES_006687",54.67925,-29.994889,0.13632,4,"BrightGalaxy"
"OzDES_002530",54.784833,-29.953861,-1.3E-4,6,"Tertiary"
"OzDES_006689",54.761458,-29.9455,0.82608,4,"LRG"
"OzDES_005843",54.558208,-30.055306,0.72252,3,"LRG"
"OzDES_001041",54.616458,-30.023444,0.40212,4,"Photo-z"
"OzDES_001040",54.611958,-30.005278,0.43439,4,"Photo-z"
"OzDES_006911",54.519125,-30.015083,4.7E-4,6,"BrightGalaxy"
"OzDES_006912",54.512833,-30.008972,1.08229,3,"ELG"
"OzDES_006913",54.508583,-29.995667,0.70626,3,"LRG"
"OzDES_006915",54.588667,-29.989417,-4.0E-5,6,"BrightGalaxy"
"OzDES_006917",54.601583,-29.969,0.46393,4,"RedMaGiC"
"OzDES_006924",54.666708,-29.928611,0.82237,3,"ClusterGalaxy"
"OzDES_006928",54.670292,-29.924389,0.82688,3,"LRG"
"OzDES_006690",54.731542,-29.933389,0.59117,3,"LRG"
"OzDES_006693",54.691292,-29.899083,0.63908,3,"LRG"
"OzDES_006922",54.636958,-29.939556,0.82342,3,"LRG"
"OzDES_006923",54.630792,-29.929917,0.84512,3,"LRG"
"OzDES_006936",54.611917,-29.89125,0.64247,3,"LRG"
"OzDES_006933",54.671083,-29.894861,0.82425,3,"LRG"
"OzDES_006944",54.650792,-29.85375,1.14646,4,"AGN_monitoring"
"OzDES_006918",54.19075,-29.967861,0.15126,4,"BrightGalaxy"
"OzDES_006919",54.263458,-29.960222,0.24996,4,"ELG"
"OzDES_001020",54.376042,-29.900361,0.20834,3,"Photo-z"
"OzDES_006937",54.339875,-29.873889,0.45983,4,"LRG"
"OzDES_006927",54.480708,-29.939556,0.10313,4,"BrightGalaxy"
"OzDES_006929",54.4975,-29.922833,0.15386,3,"AGN_reverberation"
"OzDES_006938",54.604333,-29.869167,0.66447,3,"RedMaGiC"
"OzDES_001025",54.563667,-29.860306,0.70321,4,"Photo-z"
"OzDES_006945",54.636875,-29.846139,0.8735,3,"LRG"
"OzDES_001026",54.647708,-29.8345,0.30953,4,"Photo-z"
"OzDES_006951",54.6095,-29.837778,0.59448,4,"LRG"
"OzDES_006957",54.523958,-29.827389,0.42189,3,"LRG"
"OzDES_001021",54.384417,-29.861167,0.49558,3,"Photo-z"
"OzDES_006947",54.411292,-29.851611,0.21469,4,"LRG"
"OzDES_006943",54.454625,-29.863417,2.6E-4,6,"BrightGalaxy"
"OzDES_001022",54.426292,-29.843639,0.21286,3,"Photo-z"
"OzDES_001023",54.442667,-29.825306,0.59496,4,"Photo-z"
"OzDES_001018",54.352583,-29.86,0.21606,3,"Photo-z"
"OzDES_006959",54.371667,-29.821528,1.35246,4,"AGN_reverberation"
"OzDES_006962",54.379333,-29.820806,0.10245,4,"BrightGalaxy"
"OzDES_006960",54.349917,-29.821444,1.35066,4,"AGN_monitoring"
"OzDES_001019",54.368167,-29.80075,0.42485,3,"Photo-z"
"OzDES_006961",54.409667,-29.814167,0.92534,3,"ELG"
"OzDES_006966",54.401833,-29.803167,-5.0E-5,6,"BrightGalaxy"
"OzDES_006977",54.491667,-29.771806,0.56068,4,"AGN_monitoring"
"OzDES_006984",54.479833,-29.759972,0.13178,4,"BrightGalaxy"
"OzDES_006972",54.530208,-29.775417,0.3158,3,"RedMaGiC"
"OzDES_006982",54.531667,-29.755083,0.70256,3,"LRG"
"OzDES_006992",54.519458,-29.720194,0.73895,3,"RedMaGiC"
"OzDES_001024",54.452708,-29.760306,0.20405,4,"Photo-z"
"OzDES_001985",54.4295,-29.727056,2.06993,4,"AGN_reverberation"
"OzDES_006999",54.453958,-29.700111,0.80151,3,"LRG"
"OzDES_000990",54.486208,-29.67625,0.21336,4,"Photo-z"
"OzDES_006907",54.073833,-30.040222,1.60385,4,"AGN_monitoring"
"OzDES_006908",54.008167,-30.039417,0.87005,3,"LRG"
"OzDES_006916",53.984708,-29.981972,0.09488,4,"BrightGalaxy"
"OzDES_006914",54.023708,-29.983333,0.77431,4,"LRG"
"OzDES_006921",54.036,-29.965361,0.09449,4,"BrightGalaxy"
"OzDES_006926",54.030625,-29.942139,0.1367,4,"BrightGalaxy"
"OzDES_006909",53.907917,-30.034083,1.0E-4,6,"BrightGalaxy"
"OzDES_001036",53.950792,-29.990917,0.35807,3,"Photo-z"
"OzDES_006925",53.861583,-29.933722,-3.1E-4,6,"BrightGalaxy"
"OzDES_001037",53.9735,-29.982778,0.35794,4,"Photo-z"
"OzDES_001038",53.9745,-29.979389,0.26642,4,"Photo-z"
"OzDES_001039",53.97475,-29.930722,0.36591,4,"Photo-z"
"OzDES_006932",53.996417,-29.906,0.64309,3,"LRG"
"OzDES_001008",53.976333,-29.897083,0.6452,4,"Photo-z"
"OzDES_006946",53.984333,-29.865222,0.15092,4,"BrightGalaxy"
"OzDES_006942",53.987,-29.856556,0.89645,3,"ELG"
"OzDES_006950",53.955042,-29.837972,0.53258,4,"RedMaGiC"
"OzDES_006648",53.749458,-29.971278,1.72132,4,"AGN_reverberation"
"OzDES_006653",53.652875,-29.88925,0.16151,4,"BrightGalaxy"
"OzDES_006649",53.808875,-29.975528,0.16158,4,"BrightGalaxy"
"OzDES_006650",53.801083,-29.94475,0.1062,4,"BrightGalaxy"
"OzDES_001035",53.796917,-29.927028,0.36233,3,"Photo-z"
"OzDES_006651",53.738083,-29.888528,0.97357,3,"LRG"
"OzDES_006949",53.891583,-29.838028,0.81916,4,"LRG"
"OzDES_006654",53.828625,-29.839639,0.68428,4,"LRG"
"OzDES_006655",53.845958,-29.837278,-2.6E-4,6,"BrightGalaxy"
"OzDES_001005",53.8085,-29.841028,0.59399,3,"Photo-z"
"OzDES_001006",53.851667,-29.808139,0.3134,4,"Photo-z"
"OzDES_006652",53.715417,-29.8805,0.8502,3,"LRG"
"OzDES_001003",53.746958,-29.859528,0.21078,4,"Photo-z"
"OzDES_006656",53.795292,-29.815889,0.2383,4,"AGN_reverberation"
"OzDES_001004",53.789542,-29.788667,0.60379,3,"Photo-z"
"OzDES_006660",53.837458,-29.756,0.68537,4,"LRG"
"OzDES_006986",53.854042,-29.739222,0.20209,4,"BrightGalaxy"
"OzDES_006661",53.803417,-29.749278,0.91421,3,"LRG"
"OzDES_000975",53.814958,-29.717556,0.40673,4,"Photo-z"
"OzDES_006659",53.742375,-29.77375,0.13804,4,"BrightGalaxy"
"OzDES_000973",53.787042,-29.712111,0.37926,4,"Photo-z"
"OzDES_000976",53.822208,-29.688444,0.3077,3,"Photo-z"
"OzDES_006670",53.766583,-29.702778,0.35333,3,"LRG"
"OzDES_006673",53.763792,-29.685333,0.72023,3,"LRG"
"OzDES_006920",54.15925,-29.958222,0.65302,4,"LRG"
"OzDES_006930",54.105792,-29.908,0.62451,3,"LRG"
"OzDES_006931",54.097042,-29.906639,2.30253,4,"AGN_monitoring"
"OzDES_006934",54.082083,-29.895389,0.361,3,"RedMaGiC"
"OzDES_006941",54.182417,-29.869194,1.0E-5,6,"BrightGalaxy"
"OzDES_001012",54.1225,-29.869361,0.62515,3,"Photo-z"
"OzDES_006935",54.240917,-29.889778,0.87233,3,"LRG"
"OzDES_006939",54.216042,-29.868778,1.0E-4,4,"ELG"
"OzDES_006940",54.225917,-29.866194,0.87871,4,"ELG"
"OzDES_001016",54.306208,-29.825806,0.1752,4,"Photo-z"
"OzDES_006955",54.289292,-29.831556,2.0E-4,6,"BrightGalaxy"
"OzDES_006948",54.252125,-29.839139,0.0,3,"ELG"
"OzDES_006952",54.237833,-29.834278,0.9185,3,"AGN_reverberation"
"OzDES_006953",54.183083,-29.839861,-1.6E-4,6,"BrightGalaxy"
"OzDES_006954",54.195542,-29.832306,0.94932,3,"ELG"
"OzDES_006963",54.217667,-29.805028,0.0,4,"ELG"
"OzDES_006965",54.214083,-29.8025,0.20714,4,"LRG"
"OzDES_001013",54.25875,-29.794139,0.35991,4,"Photo-z"
"OzDES_006976",54.235167,-29.785278,0.20656,3,"BrightGalaxy"
"OzDES_006974",54.202708,-29.77525,-5.0E-5,6,"BrightGalaxy"
"OzDES_001014",54.237958,-29.775222,1.69165,4,"Photo-z"
"OzDES_006956",54.11775,-29.831194,1.18447,3,"ELG"
"OzDES_006958",54.069708,-29.828306,0.00113,6,"BrightGalaxy"
"OzDES_001011",54.098583,-29.816917,0.26416,4,"Photo-z"
"OzDES_001009",54.021208,-29.837306,0.36275,3,"Photo-z"
"OzDES_006968",54.002333,-29.797028,2.6E-4,6,"BrightGalaxy"
"OzDES_006964",54.044458,-29.810028,0.10856,4,"BrightGalaxy"
"OzDES_006969",54.077375,-29.791222,0.30851,4,"LRG"
"OzDES_001010",54.060333,-29.784806,0.31406,4,"Photo-z"
"OzDES_006978",54.021292,-29.781306,0.36288,4,"ClusterGalaxy"
"OzDES_006973",54.032917,-29.778917,0.15163,4,"BrightGalaxy"
"OzDES_002867",54.15925,-29.756972,0.46057,4,"SpARCS"
"OzDES_006989",54.158125,-29.733778,0.20135,3,"BrightGalaxy"
"OzDES_006990",54.163667,-29.726972,0.20307,4,"RedMaGiC"
"OzDES_006980",54.108375,-29.765778,0.20224,4,"RedMaGiC"
"OzDES_006985",54.0925,-29.732694,1.23519,4,"AGN_monitoring"
"OzDES_006994",54.093542,-29.714389,0.13663,4,"BrightGalaxy"
"OzDES_006997",54.157208,-29.702028,0.71232,4,"ELG"
"OzDES_007001",54.114292,-29.697222,1.21838,4,"AGN_monitoring"
"OzDES_007000",54.096917,-29.698889,1.26575,4,"AGN_monitoring"
"OzDES_006970",54.35175,-29.786444,0.77232,3,"ELG"
"OzDES_006971",54.339458,-29.7855,0.50671,3,"RedMaGiC"
"OzDES_001015",54.295625,-29.794556,0.30593,4,"Photo-z"
"OzDES_001017",54.34825,-29.757111,0.1368,4,"Photo-z"
"OzDES_006987",54.370167,-29.737556,-5.0E-5,6,"BrightGalaxy"
"OzDES_006981",54.332667,-29.756333,0.77157,4,"LRG"
"OzDES_006995",54.365458,-29.706639,0.92477,4,"LRG"
"OzDES_006993",54.319542,-29.733611,0.06882,4,"BrightGalaxy"
"OzDES_006996",54.395,-29.703861,2.38709,4,"AGN_monitoring"
"OzDES_000987",54.406125,-29.690167,0.2534,4,"Photo-z"
"OzDES_000988",54.399208,-29.668944,0.42037,4,"Photo-z"
"OzDES_007005",54.443833,-29.666944,0.00122,6,"BrightGalaxy"
"OzDES_007007",54.431833,-29.663889,0.1767,3,"BrightGalaxy"
"OzDES_000989",54.376583,-29.680583,0.36223,3,"Photo-z"
"OzDES_007022",54.364958,-29.611889,0.88887,4,"ELG"
"OzDES_002387",54.228917,-29.713944,1.0E-5,6,"FStar"
"OzDES_000983",54.221583,-29.708917,0.45838,4,"Photo-z"
"OzDES_007004",54.214167,-29.670444,0.75128,3,"LRG"
"OzDES_007006",54.288792,-29.661639,0.55788,3,"LRG"
"OzDES_007012",54.237875,-29.656889,-5.0E-5,6,"BrightGalaxy"
"OzDES_000984",54.257083,-29.645417,0.38954,4,"Photo-z"
"OzDES_007013",54.148833,-29.659056,4.1E-4,4,"AGN_reverberation"
"OzDES_009027",54.214875,-29.601917,0.72381,4,"LRG"
"OzDES_007023",54.3595,-29.6135,1.2E-4,6,"BrightGalaxy"
"OzDES_009028",54.308792,-29.599944,0.46067,4,"RedMaGiC"
"OzDES_000985",54.347125,-29.596528,0.15356,4,"Photo-z"
"OzDES_000986",54.355792,-29.593056,0.21459,4,"Photo-z"
"OzDES_000941",54.396667,-29.570806,0.36025,4,"Photo-z"
"OzDES_009039",54.39,-29.568806,-1.0E-4,6,"BrightGalaxy"
"OzDES_009061",54.292792,-29.524139,0.9452,3,"AGN_reverberation"
"OzDES_002519",53.96975,-29.7635,8.0E-5,6,"Tertiary"
"OzDES_006979",53.951875,-29.771972,5.4E-4,6,"BrightGalaxy"
"OzDES_001007",53.927667,-29.772694,0.1514,4,"Photo-z"
"OzDES_007003",54.048625,-29.684361,0.62486,3,"LRG"
"OzDES_000981",54.050833,-29.672778,0.42825,4,"Photo-z"
"OzDES_007008",54.092833,-29.657056,0.62351,4,"ELG"
"OzDES_007010",54.062958,-29.660028,0.25105,4,"RedMaGiC"
"OzDES_000979",54.069375,-29.648583,0.90777,4,"Photo-z"
"OzDES_007016",54.039542,-29.637222,0.81165,3,"LRG"
"OzDES_007025",54.030167,-29.628694,0.06812,4,"BrightGalaxy"
"OzDES_000980",54.062208,-29.5975,0.38919,4,"Photo-z"
"OzDES_006991",53.882708,-29.723222,0.59634,4,"LRG"
"OzDES_007002",53.898792,-29.692833,0.5528,4,"RedMaGiC"
"OzDES_007009",53.878667,-29.677528,0.10315,3,"BrightGalaxy"
"OzDES_007015",53.943125,-29.645667,1.02827,4,"LRG"
"OzDES_007019",53.939042,-29.648056,0.13646,4,"BrightGalaxy"
"OzDES_007014",53.898042,-29.658,0.13674,4,"BrightGalaxy"
"OzDES_006682",53.811583,-29.655917,3.0E-4,4,"AGN_reverberation"
"OzDES_007021",53.871083,-29.612694,0.31473,4,"RedMaGiC"
"OzDES_002866",53.839667,-29.611278,0.30793,4,"SpARCS"
"OzDES_000977",53.842833,-29.608194,0.30208,4,"Photo-z"
