mode,q_mode,cl,SDSS9,m_SDSS9,objID,Sp-ID,RA_ICRS,DE_ICRS,ObsDate,Q,umag,e_umag,gmag,e_gmag,rmag,e_rmag,imag,e_imag,zmag,e_zmag,zsp,pmRA,pmDE,f_zsp
1,+,6,"J022430.00-073212.7",,1237679437741228196,"3122-54821-0606",36.125003,-7.536864,2009.0436,3,20.38,0.058,19.514,0.014,19.22,0.012,19.116,0.014,19.055,0.041,6.9E-4,2,-11,0
1,+,3,"J022433.28-073110.9",,1237679437741228102,"454-51908-0379 ",36.138704,-7.519718,2009.0436,3,22.408,0.579,19.528,0.023,18.069,0.01,17.437,0.008,17.205,0.02,0.27695,5,7,0
1,+,3,"J022426.44-073140.9",,1237679437741228607,"3122-54821-0616",36.110201,-7.52805,2009.0436,3,22.72,0.457,21.375,0.065,19.709,0.02,19.108,0.017,18.744,0.041,0.34222,-3,4,0
1,+,3,"J022432.76-073001.5",,1237679437741228314,"454-51908-0368 ",36.136527,-7.500439,2009.0436,3,21.619,0.514,19.327,0.031,17.715,0.011,17.119,0.01,16.766,0.023,0.27724,-1,2,0
1,+,3,"J022351.92-072951.4",,1237679437741162638,"454-51908-0321 ",35.966363,-7.497629,2009.0436,3,21.522,0.295,19.613,0.027,18.137,0.011,17.578,0.009,17.168,0.021,0.27841,8,-7,0
1,+,3,"J022344.46-072730.9",,1237679338958553248,"454-51908-0328 ",35.935254,-7.458607,2009.0027,3,21.011,0.169,18.987,0.014,17.656,0.007,17.152,0.007,16.77,0.015,0.21429,2,0,0
1,+,6,"J022407.58-072651.6",,1237679338958618915,"454-51908-0329 ",36.031591,-7.447666,2009.0027,3,20.181,0.051,19.962,0.018,19.428,0.015,19.459,0.021,19.53,0.081,1.27127,7,-2,0
1,,3,"J022410.61-072446.2",,1237679338958618720,"3122-54821-0561",36.044207,-7.412855,2009.0027,3,19.767,0.038,19.24,0.012,18.894,0.011,24.362,0.726,18.719,0.04,1.3E-4,16,-12,0
1,,3,"J022417.73-072336.9",,1237679338958619060,"454-51908-0322 ",36.073898,-7.393601,2009.0027,3,19.161,0.085,17.93,0.012,17.36,0.012,17.076,0.014,16.862,0.04,0.03214,2,-14,0
1,+,6,"J022332.06-072729.3",,1237679338958553222,"3122-54821-0567",35.883615,-7.45816,2009.0027,3,19.675,0.039,18.697,0.009,18.364,0.008,18.22,0.009,18.186,0.025,1.6E-4,6,-11,0
